Paragraph,happy,sad,anger,fear
"""కోలాహలంగా,హడావిడిగా ఉంది కాఫీ షాప్ అంతా ఎవరి పనుల్లో వాళ్ళు ఉన్నా ప్రశాంతంగా ఉంటుంది.... అందుకే ఇది నా హాంగ్ ఔట్ స్పాట్ అయింది. బాధోచ్చినా,సంతోషమేసినా ఇక్కడికే వస్తాను...ఎన్నో జ్ఞాపకాలు ఉన్నాయి ఈ కాఫీ షాప్ తో నాకు...ఈరోజు కూడా ఇక్కడే గడపాలని ఉంది... ఎప్పుడూ ముభావంగా ఉండే నా మొహంలో ఏదో సంతోషం ఉంది,మనసులో ఎందుకో తెలియని ఆనందం. ఇవన్నీ ఎందుకిలా అని ఆలోచిస్తుంటే ఆ ఆలోచనలు నన్ను ఆరేళ్లు వెనక్కి తీసుకెళ్ళాయి.. జీవితంలో ఏం చేసినా మనకంటూ పూర్తి సంతృప్తిని ఇచ్చే పనే చేయాలి అని నాన్నెప్పుడూ చెప్తూ ఉండే వారు.ఆ సంతృప్తి వైద్య వృత్తిలో ఉంటుంది అని అనిపించేది నాకు,అందుకే నేనూ డాక్టర్ అవ్వాలి అనుకున్నాను, నా ఇష్టాన్నీ, నా లక్ష్యాన్నీ ఇంట్లో అందరూ ప్రోత్సహించారు.""",70,20,5,5
"""ఇష్టంతో చేయాలనుకున్న వైద్య వృత్తికోసం ఎంతో కష్టపడి తెచ్చుకున్న మెడికల్ సీటు,నాన్న నమ్మకాన్ని నిలబెట్టాలి,అమ్మ ఇచ్చిన స్వేచ్చని కాపాడుకోవాలి,నేను కోరుకున్న లక్ష్యాన్ని చేరుకోవాలి.నా ద్వారా కొందరికైనా మంచి జరగాలి.నేను కాలేజీకి వెళుతున్న మొదటి రోజు నాతో నేననుకున్న మాటలు. ఇల్లు, పుస్తకాలు,చదువు,స్నేహితులు,వాళ్ళతో కూడా సబ్జెక్ట్ పరంగా డిస్కషన్లు,ఇవే నా లోకం.చూస్తుండగానే రెండేళ్ళు గడిచిపోయాయి. నేను కోరుకున్న గమ్యం వైపు ఒక్కో అడుగూ వేస్తూ వెళుతున్నాను.""",60,20,10,10
"""అనుకోని వ్యక్తులు ఊహించని సమయంలో మన జీవితంలో వస్తుంటారు,అడక్కుండానే వస్తారు సంధర్భం వస్తే, మన ఆనందాల్ని,సంతోషాల్ని ఇంకా పెంచేందుకో,ఇంకొందరికి పంచేందుకో ఏమో,నా జీవితంలోకి కూడా అలాంటి వ్యక్తి ఒకరు వచ్చారు,తనే ఆకాష్. నా స్కూల్ మెట్,ఎలా సంపాదించాడో ఏమో నా కాంటాక్ట్ నంబర్ సంపాదించాడు. Hi ఎలా ఉన్నావు అంటూ పలకరించాడు,మొహమాటానికి నేనూ రిప్లై ఇచ్చాను.అలా మళ్ళీ మొదలైన మా పరిచయం ,ఒక మర్చిపోలేని అందమైన ప్రయాణంగా మారింది.నాలో నాకే తెలియని మరో కోణాన్ని నాకు పరిచయం చేశాడు.""",80,10,5,5
"""ఎప్పుడూ నా లోకంలోనే ఉండే నన్ను మరో ప్రపంచంలోకి తీసుకెళ్ళాడు,నా చుట్టూ ఉన్న ప్రపంచం ఎంత అందంగా ఉంటుందో చూపించాడు,దగ్గరగా ఉన్నపుడు చూపులతో మాట్లాడుకుంటూ దూరంగా ఉన్నప్పుడూ మాటలతో ఆ దూరాన్ని దూరం చేస్తూ నాకు దగ్గరయ్యాడు. కలిసేందుకు వచ్చిన ప్రతీ సారీ ఏదో తెలియని ఆనందాన్ని వెంట తీసుకొచ్చే వాడు, వెళ్ళేప్పుడు మళ్ళీ కలిసేదాకా గుర్తు ఉండిపోయేలా ఎన్నో జ్ఞాపకాలు ఇచ్చి వెళ్ళేవాడు.నన్ను నేనే మర్చిపోయేంతగా, నా అలవాట్లు,నా ఇష్టాలు అన్నీ మార్చుకునేంతగా,నన్ను మార్చేశాడు.తనతోనే జీవితాన్ని పంచుకోవాలనీ,ప్రేమ పెంచుకోవాలనీ అనిపించేంతగా దగ్గరయ్యాడు.తను చూపించే ప్రేమవల్లో,తనతో ఉంటుంటే వచ్చే హాయి వల్లో,కాలం ఎలా గడుస్తున్నదీ తెలిసేది కాదు..చూస్తుండగానే సంవత్సరం గడిచి పోయింది.మరో ఏడాది గడిస్తే నేను కోరుకున్నట్లుగా డాక్టర్ అవుతాను,మేము కోరుకున్నట్లుగా ఇద్దరం ఒక్కటి అవుతాము అనుకున్నాను.""",70,20,5,5
"""కానీ అనుకున్నవి అనుకున్నట్లు జరిగితే అది జీవితమే కాదు.ఆకాష్ జాబ్ కోసం లండన్ వెళ్ళాడు.దూరంగా వెళుతున్నాడు అనుకున్నాను కానీ,దూరం అవుతున్నాడు,నన్ను దూరం పెట్టేందుకే వెళుతున్నాడు అని తెలుసుకోలేకపోయాను.పూటకి నాలుగు సార్లు మాట్లాడుకుండా ఉండలేని మనిషి నుండి నెలలు గడుస్తున్నా కనీసం కాల్ కూడా లేదు. ఎందుకిలా అనే ప్రశ్నే నన్ను వేదించేది.కొన్ని నెలల తరువాత కోరుకున్న వ్యక్తి నుండి ఊహించని మెయిల్. """,10,70,10,10
"""అడక్కుండా వచ్చిన మనిషి చెప్పకుండానే వెళ్లిపోయాడు,కారణం కానీ,ఎందుకిలా చేస్తున్నదీ కానీ చెప్పకుండా. కొన్ని వందల ప్రశ్నలకి జవాబులు ఇవ్వకుండా ఒక్కదాన్నే వదిలి వెళ్లిపోయాడు. ఎవరైతే జీవితాంతం నాతో ఉంటారు,నాతోడుగా ఉంటారు అనుకున్నానో ఆ వ్యక్తే అసలు ఏ కారణమూ లేకుండా అర్ధాంతరంగా నన్ను వదిలేసి వెళ్లిపోయాడు.""",5,80,10,5
"""వందల ప్రశ్నలు నన్ను చుట్టుముట్టేవి,నాకు తెలియని లోకానికి నన్ను పరిచయం చేసి,నేను కోరుకొని ప్రేమని నాకు అందించి,నన్ను నేనే మర్చిపోయేంతగా మార్చేసి మాటైనా చెప్పకుండా వెళ్లిపోయాడు. ఇంత తెలివితక్కువగా నేనెలా ఉన్నాను అని నా మీద నాకే జాలెసేది. ఏమో కొందరొచ్చినపుడు మనం ఎంత బలహీనులమ్ అయిపోతామేమో కదా,ఆ పరిస్థితులలో ఎంత తెలివి ఉన్నా ఆ ఎమోషన్కి అలా అటాచ్ అయిపోతామేమో.""",10,70,10,10
"""ప్రేమించాడు,బాధని మిగిల్చి వెళ్ళాడు.జ్ఞాపకాలు అనుకున్న వాటిని మానిపోని గాయలుగా మార్చాడు, తను మాత్రమే దూరమయ్యాడు అనుకున్నాను కానీ నా నుండి నన్నే దూరం చేశాడు.తను రాకముందు నా మీద నాకున్న విశ్వాసం,నేను ఏదైనా చేయగలను అనుకునే నమ్మకం,ఎంతటి సిట్యుయేషన్ అయినా ఎదుర్కోగలను అనే ధైర్యం,నాకు లేవు ఇపుడు.మానసికంగా ఎంత దృఢంగా ఉండే దాన్నో,ఇపుడు అంత బలహీనంగా మారిపోయాను.ఒంటరిగా ఒక్కదాన్నే ఉండిపోయి నాలోనేనే బాధ పడుతూ ఉండేదాన్ని.నా తప్పే లేని నేరానికి శిక్షా నాకే, బాధింపబడుతుందీ నేనే అని. మానసికంగా చాలా చాలా వీక్ అయిపోయాను.నా పరిస్తితి చూసి జాలి పడే వాళ్ళు జాలి పడ్డారు,నవ్వే వాళ్ళు నవ్వుకున్నారు.ఎవరిని నమ్మాలో కూడా తెలీదు,తను డాక్టర్ అవుతుంది అంటా అని. ఈ మాత్రం భరించలేవు నువ్వేం సాదిస్తావు అని ఇంకొందరు.ఎవరికి నచ్చినట్లు వాళ్ళు మాట్లాడేవాళ్లు. నా కర్మే ఇంత అనుకునేదాన్ని.""",10,70,10,10
నా కలని నిజం చేసుకొని నా వల్ల సమాజానికి ఎదో మంచి చేయాలి అనుకునే స్థాయి నుండి అసలు నా కల కలగానే మిగిపోతుందేమో అని భయపడే స్థాయికి చేరిపోయాను. ఇలా ఉంటానని నేనెప్పుడూ ఊహించలేదు.ఇలా ఉండడం నాకే నచ్చలేదు.అందుకే అసలుండకూడదు అని నిర్ణయించుకున్నాను.పిచ్చి ప్రయత్నాలూ చేశాను.అందులోనూ విఫలం చెందాను.కానీ ఈ వైఫల్యం నన్ను గెలిపించేందుకే జరిగింది.,20,60,10,10
"""నాతో నేను నాలో నేను ఒక సంఘర్షణ జరుపుకునేదాన్ని.ఇలానే చీకటిలో ఉండిపోవాలా,వెన్నెలని వెతుక్కోవాలా అని.జరిగిన దాన్ని మార్చలేను కానీ ఆ గాయాలకి దూరంగా జరగగలను కదా అనిపించింది. కోల్పోయిన ధైర్యం,నమ్మకం,విశ్వాసం అన్నీ తిరిగి సంపాదించుకోవాలని నిర్ణయించుకున్నాను.నా గమ్యాన్ని అనుసరిస్తూ నా అకాడెమిక్స్ పూర్తి చేశాను,డాక్టర్ పట్టా చేతికొచ్చింది,కానీ ఏదో వెలితి ఇంకా వెంటాడుతూ ఉంది.నన్ను నేను అన్వేషిస్తూ వెళ్ళాను.పుస్తకాల్లో,రచనల్లో,నేను రాసుకునే కాగితాల్లో నాకు నేను దొరికాను.""",50,30,10,10
